,Cena,Kvadratura,Sprat,Uknjizeno,Parking,Lift,Distance
1791,109000,0.2727272727272727,0.13513513513513514,1,0,0,0.01057770874440825
1792,105000,0.25619834710743805,0.10810810810810811,1,0,0,0.01057770874440825
1793,107000,0.23553719008264462,0.08108108108108109,1,0,1,0.02649608410538577
1794,149000,0.2603305785123967,0.16216216216216217,0,0,1,0.011312568652017092
1796,200000,0.33884297520661155,0.05405405405405406,0,0,1,0.015314564678384428
1797,159000,0.3305785123966942,0.32432432432432434,0,1,1,1.0
1798,179000,0.2396694214876033,0.2972972972972973,1,0,1,0.003749744548665702
1799,135000,0.1859504132231405,0.40540540540540543,1,0,1,0.008810984432627234
1800,300000,0.3512396694214876,0.2972972972972973,0,0,1,0.0035457024802325807
1801,147000,0.23553719008264462,0.1891891891891892,0,0,0,0.009563370747967401
1802,245000,0.34297520661157027,0.05405405405405406,0,0,0,0.0063541678149093865
1803,128390,0.14462809917355374,0.02702702702702703,1,0,0,0.0030594132701744535
1804,103990,0.19421487603305787,0.1891891891891892,1,0,0,0.015675573711687957
1805,442888,0.4380165289256198,0.21621621621621623,0,0,0,0.004279155544604983
1806,280888,0.3181818181818182,0.1891891891891892,0,0,0,0.004279155544604983
1807,130000,0.2975206611570248,0.16216216216216217,1,0,1,0.014844510273157856
1808,169000,0.30578512396694213,0.16216216216216217,1,0,1,0.018102969803351417
1809,63364,0.1859504132231405,0.08108108108108109,0,0,0,0.02651666442918373
1810,147000,0.4297520661157025,0.08108108108108109,0,0,0,0.02651666442918373
1811,75000,0.13636363636363635,0.05405405405405406,0,0,0,0.0123336699553702
1812,150000,0.23553719008264462,0.08108108108108109,1,0,1,0.014844510273157856
1813,499000,0.5991735537190083,0.0,1,1,0,0.008725852228148338
1814,185000,0.2644628099173554,0.16216216216216217,1,0,1,0.015964108003108154
1815,225000,0.6239669421487604,0.08108108108108109,0,0,0,0.028063725420689373
1816,210000,0.2892561983471075,0.08108108108108109,1,0,1,0.007673029079770156
1817,127000,0.2066115702479339,0.13513513513513514,0,0,0,0.015964108003108154
1818,259000,0.2975206611570248,0.13513513513513514,0,0,1,0.004279155544604983
1820,151000,0.30991735537190085,0.08108108108108109,1,1,1,0.008725852228148338
1821,190000,0.2892561983471075,0.10810810810810811,0,0,1,0.007183702699849733
1822,129000,0.29338842975206614,0.08108108108108109,1,0,0,0.014223553839580896
1823,250000,0.4297520661157025,0.02702702702702703,1,0,0,0.004258512513537939
1824,479000,0.4256198347107438,0.10810810810810811,1,1,0,0.0063541678149093865
1825,144500,0.2727272727272727,0.08108108108108109,1,0,0,0.02649608410538577
1826,140000,0.15289256198347106,0.02702702702702703,1,0,0,0.0063541678149093865
1827,800000,0.7024793388429752,0.16216216216216217,1,0,0,0.005788682687203765
1828,130000,0.26859504132231404,0.2702702702702703,1,0,1,0.02021010086172128
1829,290000,0.2272727272727273,0.40540540540540543,1,0,0,0.004279155544604983
1830,450000,0.45041322314049587,0.2702702702702703,0,0,1,0.004279155544604983
1831,201000,0.15702479338842976,0.32432432432432434,0,1,1,0.01209937426804879
1832,175000,0.2768595041322314,0.5945945945945945,1,0,1,0.011298413679336016
1833,105000,0.2066115702479339,0.05405405405405406,1,0,0,0.022588553079878962
1834,135000,0.2603305785123967,0.13513513513513514,1,0,1,0.017225751665349235
1835,95000,0.25619834710743805,0.16216216216216217,1,0,0,0.016080162556114323
1836,175000,0.2975206611570248,0.1891891891891892,0,0,1,0.010138436091169403
1837,320000,0.3223140495867769,0.13513513513513514,1,0,0,0.0020024713498164246
1838,244200,0.30578512396694213,0.08108108108108109,0,0,1,0.00375025143497268
1839,164888,0.1322314049586777,0.08108108108108109,0,0,0,0.004279155544604983
1840,120000,0.2396694214876033,0.10810810810810811,0,0,0,0.00695115508263026
1841,160000,0.24793388429752067,0.13513513513513514,0,0,0,0.0063541678149093865
1842,215000,0.26859504132231404,0.05405405405405406,1,0,0,0.012230228420503163
1843,168000,0.25619834710743805,0.10810810810810811,1,0,0,0.009735694710630984
1844,139000,0.21074380165289258,0.08108108108108109,0,0,1,0.0063541678149093865
1845,400000,0.43388429752066116,0.02702702702702703,0,0,0,0.012230228420503163
1847,165000,0.2892561983471075,0.05405405405405406,0,1,0,0.014263756149671618
1848,180000,0.3512396694214876,0.1891891891891892,1,1,0,0.011312568652017092
1850,105000,0.1859504132231405,0.21621621621621623,1,0,1,0.02021010086172128
1851,250000,0.756198347107438,0.13513513513513514,1,0,0,0.018923295817340917
1852,225000,0.3181818181818182,0.24324324324324326,1,0,0,0.5231586419223632
1853,99000,0.15702479338842976,0.1891891891891892,1,1,0,0.011312568652017092
1854,145000,0.2644628099173554,0.08108108108108109,1,0,1,0.015314564678384428
1855,115000,0.2231404958677686,0.02702702702702703,1,0,1,0.01598373497428315
1856,160000,0.26859504132231404,0.05405405405405406,1,0,1,0.011302376132269313
1857,116000,0.2066115702479339,0.13513513513513514,1,1,0,0.01799419706252143
1858,375000,0.578512396694215,0.16216216216216217,0,1,1,0.0063541678149093865
1859,175000,0.2644628099173554,0.08108108108108109,1,1,1,0.009713397858023139
1860,220000,0.30991735537190085,0.08108108108108109,1,1,1,0.009713397858023139
1861,112000,0.23140495867768596,0.02702702702702703,1,0,1,0.01598373497428315
1862,250000,0.36363636363636365,0.05405405405405406,1,1,1,0.012125028828595
1863,120230,0.2272727272727273,0.02702702702702703,1,0,1,0.01281413621517169
1864,162000,0.30578512396694213,0.10810810810810811,1,1,1,0.02021010086172128
1865,132000,0.2024793388429752,0.05405405405405406,1,0,0,0.014152192078562068
1867,275000,0.3925619834710744,0.05405405405405406,1,0,1,0.0020024713498164246
1868,151500,0.26859504132231404,0.1891891891891892,1,0,1,0.015820584655237082
1869,704888,0.6487603305785125,0.32432432432432434,0,0,1,0.004279155544604983
1870,446888,0.43388429752066116,0.2702702702702703,0,0,1,0.004279155544604983
1871,430000,0.7355371900826446,0.08108108108108109,0,0,1,0.015459078287690081
1872,280000,0.34710743801652894,0.05405405405405406,0,0,0,0.0015553756710202352
1873,210000,0.3347107438016529,0.10810810810810811,1,0,0,0.01799419706252143
1874,235000,0.34297520661157027,0.13513513513513514,0,0,0,0.006200762835713511
1875,289000,0.3347107438016529,0.10810810810810811,0,0,1,0.001946356322707817
1876,375000,0.371900826446281,0.16216216216216217,0,0,1,0.008337499444683542
1878,177500,0.23140495867768596,0.13513513513513514,1,0,1,0.008964526391543517
1879,268000,0.243801652892562,0.05405405405405406,1,1,1,0.0015096247725917707
1880,30000,0.21074380165289258,0.08108108108108109,1,0,0,0.04349406866272755
1881,220000,0.4049586776859504,0.1891891891891892,1,0,1,0.0123336699553702
1882,70000,0.15702479338842976,0.02702702702702703,0,0,0,0.014761269885109765
1884,92000,0.19008264462809918,0.21621621621621623,1,1,1,0.015174891777193101
